index,dtypes
game_id,object
inn_ct,uint8
home_half,uint8
away_score_ct,uint8
home_score_ct,uint8
bat_id,object
pit_id,object
event_tx,object
h_cd,uint8
outs,uint8
e,uint8
team_id,object
opponent_team_id,object
inn_runs_ct,uint8
start_bases_cd,uint8
end_bases_cd,uint8
r,uint8
fate_runs_ct,uint8
ab,bool
sh,bool
sf,bool
dp,bool
tp,bool
wp,bool
pb,bool
inn_end,bool
pa,bool
bat_safe_err,bool
so,bool
sb,uint8
cs,uint8
bk,bool
ibb,bool
bb,bool
hbp,bool
xi,bool
single,bool
double,bool
triple,bool
hr,bool
h,bool
