index,dtypes
game_id,object
game_dt,uint32
game_ct,uint8
game_dy,object
start_game_tm,uint16
dh_fl,object
daynight_park_cd,object
away_team_id,object
home_team_id,object
park_id,object
away_start_pit_id,object
home_start_pit_id,object
base4_ump_id,object
base1_ump_id,object
base2_ump_id,object
base3_ump_id,object
lf_ump_id,object
rf_ump_id,object
attend_park_ct,int32
scorer_record_id,object
translator_record_id,object
inputter_record_id,object
input_record_ts,object
edit_record_ts,Int64
method_record_cd,uint8
pitches_record_cd,uint8
temp_park_ct,int8
wind_direction_park_cd,uint8
wind_speed_park_ct,int8
field_park_cd,uint8
precip_park_cd,uint8
sky_park_cd,uint8
minutes_game_ct,uint16
inn_ct,uint8
away_score_ct,uint8
home_score_ct,uint8
away_hits_ct,uint8
home_hits_ct,uint8
away_err_ct,uint8
home_err_ct,uint8
away_lob_ct,uint8
home_lob_ct,uint8
win_pit_id,object
lose_pit_id,object
save_pit_id,object
gwrbi_bat_id,object
away_lineup1_bat_id,object
away_lineup1_fld_cd,uint8
away_lineup2_bat_id,object
away_lineup2_fld_cd,uint8
away_lineup3_bat_id,object
away_lineup3_fld_cd,uint8
away_lineup4_bat_id,object
away_lineup4_fld_cd,uint8
away_lineup5_bat_id,object
away_lineup5_fld_cd,uint8
away_lineup6_bat_id,object
away_lineup6_fld_cd,uint8
away_lineup7_bat_id,object
away_lineup7_fld_cd,uint8
away_lineup8_bat_id,object
away_lineup8_fld_cd,uint8
away_lineup9_bat_id,object
away_lineup9_fld_cd,uint8
home_lineup1_bat_id,object
home_lineup1_fld_cd,uint8
home_lineup2_bat_id,object
home_lineup2_fld_cd,uint8
home_lineup3_bat_id,object
home_lineup3_fld_cd,uint8
home_lineup4_bat_id,object
home_lineup4_fld_cd,uint8
home_lineup5_bat_id,object
home_lineup5_fld_cd,uint8
home_lineup6_bat_id,object
home_lineup6_fld_cd,uint8
home_lineup7_bat_id,object
home_lineup7_fld_cd,uint8
home_lineup8_bat_id,object
home_lineup8_fld_cd,uint8
home_lineup9_bat_id,object
home_lineup9_fld_cd,uint8
away_finish_pit_id,object
home_finish_pit_id,object
away_team_league_id,object
home_team_league_id,object
away_team_game_ct,Int64
home_team_game_ct,Int64
outs_ct,uint8
completion_tx,Int64
forfeit_tx,Int64
protest_tx,Int64
away_line_tx,object
home_line_tx,object
away_ab_ct,uint8
away_2b_ct,uint8
away_3b_ct,uint8
away_hr_ct,uint8
away_bi_ct,uint8
away_sh_ct,uint8
away_sf_ct,uint8
away_hp_ct,uint8
away_bb_ct,uint8
away_ibb_ct,uint8
away_so_ct,uint8
away_sb_ct,uint8
away_cs_ct,uint8
away_gdp_ct,uint8
away_xi_ct,uint8
away_pitcher_ct,uint8
away_er_ct,uint8
away_ter_ct,uint8
away_wp_ct,uint8
away_bk_ct,uint8
away_po_ct,uint8
away_a_ct,uint8
away_pb_ct,uint8
away_dp_ct,uint8
away_tp_ct,uint8
home_ab_ct,uint8
home_2b_ct,uint8
home_3b_ct,uint8
home_hr_ct,uint8
home_bi_ct,uint8
home_sh_ct,uint8
home_sf_ct,uint8
home_hp_ct,uint8
home_bb_ct,uint8
home_ibb_ct,uint8
home_so_ct,uint8
home_sb_ct,uint8
home_cs_ct,uint8
home_gdp_ct,uint8
home_xi_ct,uint8
home_pitcher_ct,uint8
home_er_ct,uint8
home_ter_ct,uint8
home_wp_ct,uint8
home_bk_ct,uint8
home_po_ct,uint8
home_a_ct,uint8
home_pb_ct,uint8
home_dp_ct,uint8
home_tp_ct,uint8
ump_home_name_tx,Int64
ump_1b_name_tx,Int64
ump_2b_name_tx,Int64
ump_3b_name_tx,Int64
ump_lf_name_tx,Int64
ump_rf_name_tx,Int64
away_manager_id,Int64
away_manager_name_tx,Int64
home_manager_id,Int64
home_manager_name_tx,Int64
win_pit_name_tx,object
lose_pit_name_tx,object
save_pit_name_tx,object
goahead_rbi_id,object
goahead_rbi_name_tx,object
away_lineup1_bat_name_tx,object
away_lineup2_bat_name_tx,object
away_lineup3_bat_name_tx,object
away_lineup4_bat_name_tx,object
away_lineup5_bat_name_tx,object
away_lineup6_bat_name_tx,object
away_lineup7_bat_name_tx,object
away_lineup8_bat_name_tx,object
away_lineup9_bat_name_tx,object
home_lineup1_bat_name_tx,object
home_lineup2_bat_name_tx,object
home_lineup3_bat_name_tx,object
home_lineup4_bat_name_tx,object
home_lineup5_bat_name_tx,object
home_lineup6_bat_name_tx,object
home_lineup7_bat_name_tx,object
home_lineup8_bat_name_tx,object
home_lineup9_bat_name_tx,object
add_info_tx,object
acq_info_tx,Int64
